Currency,Date,Closing Price (USD),% Change,,,,Date,Cum Cases,Cum Deaths,%Change Cases,%Change Deaths,,,,,,,
BSV,06/04/2020,174.049408,-3%,,,,,,,,,,,,,,,
BSV,07/04/2020,192.2521721,10%,,,,,,,,,,,,,,,
BSV,08/04/2020,185.7992141,-3%,,,,,,,,,,,,,,,
BSV,09/04/2020,219.3592047,18%,,,,,,,,,,,,,,,
BSV,10/04/2020,216.1235978,-1%,,,,,,,,,,,,,,,
BSV,11/04/2020,184.9942783,-14%,,,,,,,,,,,,,,,
BSV,12/04/2020,187.5939415,1%,,,,,,,,,,,,,,,
ETH,12/01/2020,145.2809937,0,,,,,,,,,,,,,,,
ETH,13/01/2020,143.936917,-1%,,,,,,,,,,,,,,,
ETH,14/01/2020,163.8546315,14%,,,,,,,,,,,,,,,
ETH,15/01/2020,166.5383399,2%,,,,,,,,,,,,,,,
ETH,16/01/2020,163.9372081,-2%,,,,,,,,,,,,,,,
ETH,17/01/2020,171.5889768,5%,,,,,,,,,,,,,,,
ETH,18/01/2020,176.700434,3%,,,,,,,,,,,,,,,
ETH,19/01/2020,166.0633101,-6%,,,,,,,,,,,,,,,
ETH,20/01/2020,167.5725368,1%,,,,,,,,,,,,,,,
ETH,21/01/2020,169.0544916,1%,,,,,,,,,,,,,,,
ETH,22/01/2020,167.1518345,-1%,,,,,,,,,,,,,,,
ETH,23/01/2020,162.6714167,-3%,,,,,,,,,,,,,,,
ETH,24/01/2020,162.8065224,0%,,,,,,,,,,,,,,,
ETH,25/01/2020,160.9178681,-1%,,,,,,,,,,,,,,,
ETH,26/01/2020,166.7218659,4%,,,,,,,,,,,,,,,
ETH,27/01/2020,169.8001126,2%,,,,,,,,,,,,,,,
ETH,28/01/2020,173.5481484,2%,,,,,,,,,,,,,,,
ETH,29/01/2020,175.4603221,1%,,,,,,,,,,,,,,,
ETH,30/01/2020,186.2620414,6%,,,,,,,,,,,,,,,
ETH,31/01/2020,181.7284342,-2%,,,,,,,,,,,,,,,
ETH,01/02/2020,182.7739889,1%,,,,,,,,,,,,,,,
ETH,02/02/2020,189.3125531,4%,,,,,,,,,,,,,,,
ETH,03/02/2020,189.2575929,0%,,,,,,,,,,,,,,,
ETH,04/02/2020,188.6750822,0%,,,,,,,,,,,,,,,
ETH,05/02/2020,204.5305348,8%,,,,,,,,,,,,,,,
ETH,06/02/2020,211.2924866,3%,,,,,,,,,,,,,,,
ETH,07/02/2020,221.8331394,5%,,,,,,,,,,,,,,,
ETH,08/02/2020,224.0294272,1%,,,,,,,,,,,,,,,
ETH,09/02/2020,228.044309,2%,,,,,,,,,,,,,,,
ETH,10/02/2020,223.3196378,-2%,,,,,,,,,,,,,,,
ETH,11/02/2020,237.8783455,7%,,,,,,,,,,,,,,,
ETH,12/02/2020,268.3962677,13%,,,,,,,,,,,,,,,
ETH,13/02/2020,266.2518149,-1%,,,,,,,,,,,,,,,
ETH,14/02/2020,284.0004909,7%,,,,,,,,,,,,,,,
ETH,15/02/2020,267.3531863,-6%,,,,,,,,,,,,,,,
ETH,16/02/2020,255.3551842,-4%,,,,,,,,,,,,,,,
ETH,17/02/2020,261.1372307,2%,,,,,,,,,,,,,,,
ETH,18/02/2020,281.3812072,8%,,,,,,,,,,,,,,,
ETH,19/02/2020,265.1448245,-6%,,,,,,,,,,,,,,,
ETH,20/02/2020,259.7141345,-2%,,,,,,,,,,,,,,,
ETH,21/02/2020,263.949385,2%,,,,,,,,,,,,,,,
ETH,22/02/2020,262.5732338,-1%,,,,,,,,,,,,,,,
ETH,23/02/2020,272.8428067,4%,,,,,,,,,,,,,,,
ETH,24/02/2020,263.8974852,-3%,,,,,,,,,,,,,,,
ETH,25/02/2020,251.9396762,-5%,,,,,,,,,,,,,,,
ETH,26/02/2020,225.6910701,-10%,,,,,,,,,,,,,,,
ETH,27/02/2020,228.5854083,1%,,,,,,,,,,,,,,,
ETH,28/02/2020,229.7854128,1%,,,,,,,,,,,,,,,
ETH,29/02/2020,223.499288,-3%,,,,,,,,,,,,,,,
ETH,01/03/2020,218.777736,-2%,,,,,,,,,,,,,,,
ETH,02/03/2020,230.812952,6%,,,,,,,,,,,,,,,
ETH,03/03/2020,224.6566351,-3%,,,,,,,,,,,,,,,
ETH,04/03/2020,223.5277347,-1%,,,,,,,,,,,,,,,
ETH,05/03/2020,229.4143467,3%,,,,,,,,,,,,,,,
ETH,06/03/2020,240.4900817,5%,,,,,,,,,,,,,,,
ETH,07/03/2020,240.5548524,0%,,,,,,,,,,,,,,,
ETH,08/03/2020,204.4108196,-15%,,,,,,,,,,,,,,,
ETH,09/03/2020,198.9773509,-3%,,,,,,,,,,,,,,,
ETH,10/03/2020,203.1258772,2%,,,,,,,,,,,,,,,
ETH,11/03/2020,194.427784,-4%,,,,,,,,,,,,,,,
ETH,12/03/2020,127.2928962,-35%,,,,,,,,,,,,,,,
ETH,13/03/2020,134.8210288,6%,,,,,,,,,,,,,,,
ETH,14/03/2020,124.9746147,-7%,,,,,,,,,,,,,,,
ETH,15/03/2020,123.7851093,-1%,,,,,,,,,,,,,,,
ETH,16/03/2020,107.8983448,-13%,,,,,,,,,,,,,,,
ETH,17/03/2020,118.3424036,10%,,,,,,,,,,,,,,,
ETH,18/03/2020,116.6065978,-1%,,,,,,,,,,,,,,,
ETH,19/03/2020,140.8145457,21%,,,,,,,,,,,,,,,
ETH,20/03/2020,131.753158,-6%,,,,,,,,,,,,,,,
ETH,21/03/2020,133.0816861,1%,,,,,,,,,,,,,,,
ETH,22/03/2020,123.2739472,-7%,,,,,,,,,,,,,,,
ETH,23/03/2020,133.5701414,8%,,,,,,,,,,,,,,,
ETH,24/03/2020,140.1136999,5%,,,,,,,,,,,,,,,
ETH,25/03/2020,136.2496619,-3%,,,,,,,,,,,,,,,
ETH,26/03/2020,136.6194963,0%,,,,,,,,,,,,,,,
ETH,27/03/2020,137.3184524,1%,,,,,,,,,,,,,,,
ETH,28/03/2020,131.2719317,-4%,,,,,,,,,,,,,,,
ETH,29/03/2020,125.7283385,-4%,,,,,,,,,,,,,,,
ETH,31/03/2020,133.7604753,6%,,,,,,,,,,,,,,,
ETH,01/04/2020,133.8929306,0%,,,,,,,,,,,,,,,
ETH,02/04/2020,133.6525611,0%,,,,,,,,,,,,,,,
ETH,03/04/2020,141.9206657,6%,,,,,,,,,,,,,,,
ETH,04/04/2020,144.1399041,2%,,,,,,,,,,,,,,,
ETH,06/04/2020,165.9462414,15%,,,,,,,,,,,,,,,
ETH,07/04/2020,166.4521496,0%,,,,,,,,,,,,,,,
ETH,08/04/2020,172.8180919,4%,,,,,,,,,,,,,,,
ETH,10/04/2020,158.3075978,-8%,,,,,,,,,,,,,,,
ETH,12/04/2020,158.010143,0%,,,,,,,,,,,,,,,
