Currency,Date,Closing Price (USD),% Change,,,,Date,Cum Cases,Cum Deaths,%Change Cases,%Change Deaths,,,,,,,
XRP,04/03/2020,0.234671027,0%,,,,04/03/2020,93018,3201,2%,3%,,,,,,,
XRP,05/03/2020,0.23868927,2%,,,,05/03/2020,95257,3281,2%,2%,,,,,,,
XRP,06/03/2020,0.243325727,2%,,,,06/03/2020,98113,3384,3%,3%,,,,,,,
XRP,07/03/2020,0.238155292,-2%,,,,07/03/2020,102074,3487,4%,3%,,,,,,,
XRP,08/03/2020,0.206423567,-13%,,,,08/03/2020,105765,3584,4%,3%,,,,,,,
XRP,09/03/2020,0.207259747,0%,,,,09/03/2020,109636,3813,4%,6%,,,,,,,
XRP,10/03/2020,0.213547538,3%,,,,10/03/2020,114173,4022,4%,5%,,,,,,,
XRP,11/03/2020,0.20826912,-2%,,,,11/03/2020,118551,4291,4%,7%,,,,,,,
XRP,12/03/2020,0.155989148,-25%,,,,12/03/2020,125438,4617,6%,8%,,,,,,,
XRP,13/03/2020,0.160505848,3%,,,,13/03/2020,133793,4968,7%,8%,,,,,,,
XRP,14/03/2020,0.148255891,-8%,,,,14/03/2020,143168,5406,7%,9%,,,,,,,
XRP,15/03/2020,0.152920871,3%,,,,15/03/2020,154715,5760,8%,7%,,,,,,,
XRP,16/03/2020,0.13861339,-9%,,,,16/03/2020,167359,6505,8%,13%,,,,,,,
XRP,17/03/2020,0.149832404,8%,,,,17/03/2020,180037,7101,8%,9%,,,,,,,
XRP,18/03/2020,0.146781945,-2%,,,,18/03/2020,194777,7890,8%,11%,,,,,,,
XRP,19/03/2020,0.169540473,16%,,,,19/03/2020,213091,8841,9%,12%,,,,,,,
XRP,20/03/2020,0.155288587,-8%,,,,20/03/2020,242305,9882,14%,12%,,,,,,,
XRP,21/03/2020,0.158128314,2%,,,,21/03/2020,271047,11248,12%,14%,,,,,,,
XRP,22/03/2020,0.149395982,-6%,,,,22/03/2020,305129,12943,13%,15%,,,,,,,
XRP,23/03/2020,0.158496092,6%,,,,23/03/2020,338074,14600,11%,13%,,,,,,,
XRP,24/03/2020,0.16321485,3%,,,,24/03/2020,377859,16362,12%,12%,,,,,,,
XRP,25/03/2020,0.161909901,-1%,,,,25/03/2020,416786,18562,10%,13%,,,,,,,
XRP,26/03/2020,0.172031838,6%,,,,26/03/2020,467990,20988,12%,13%,,,,,,,
XRP,27/03/2020,0.184037608,7%,,,,27/03/2020,527708,23669,13%,13%,,,,,,,
XRP,28/03/2020,0.175931993,-4%,,,,28/03/2020,591631,26987,12%,14%,,,,,,,
XRP,29/03/2020,0.16366549,-7%,,,,29/03/2020,656809,30448,11%,13%,,,,,,,
XRP,31/03/2020,0.173278814,6%,,,,30/03/2020,715299,33573,9%,10%,,,,,,,
XRP,01/04/2020,0.175652837,1%,,,,31/03/2020,777074,37271,9%,11%,,,,,,,
XRP,02/04/2020,0.174424416,-1%,,,,01/04/2020,851282,41888,10%,12%,,,,,,,
XRP,03/04/2020,0.179906623,3%,,,,02/04/2020,928431,46883,9%,12%,,,,,,,
XRP,04/04/2020,0.180994132,1%,,,,03/04/2020,1005878,51571,8%,10%,,,,,,,
XRP,06/04/2020,0.195320619,8%,,,,04/04/2020,1087592,58157,8%,13%,,,,,,,
XRP,07/04/2020,0.193582911,-1%,,,,05/04/2020,1174305,64272,8%,11%,,,,,,,
XRP,08/04/2020,0.201958849,4%,,,,06/04/2020,1245537,68927,6%,7%,,,,,,,
XRP,10/04/2020,0.188334107,-7%,,,,07/04/2020,1316927,74064,6%,7%,,,,,,,
XRP,12/04/2020,0.187764232,0%,,,,08/04/2020,1391829,81476,6%,10%,,,,,,,
BCH,12/01/2020,265.7800701,0,,,,09/04/2020,1476759,87815,6%,8%,,,,,,,
BCH,13/01/2020,266.9184477,0%,,,,10/04/2020,1563798,95038,6%,8%,,,,,,,
BCH,14/01/2020,338.5124351,27%,,,,11/04/2020,1653145,102087,6%,7%,,,,,,,
BCH,15/01/2020,341.8692082,1%,,,,,,,,,,,,,,,
BCH,16/01/2020,327.6744373,-4%,,,,,,,,,,,,,,,
BCH,17/01/2020,376.0736281,15%,,,,,,,,,,,,,,,
BCH,18/01/2020,353.183765,-6%,,,,,,,,,,,,,,,
BCH,19/01/2020,333.8194175,-5%,,,,,,,,,,,,,,,
BCH,20/01/2020,345.9999573,4%,,,,,,,,,,,,,,,
BCH,21/01/2020,341.843648,-1%,,,,,,,,,,,,,,,
BCH,22/01/2020,342.9071006,0%,,,,,,,,,,,,,,,
BCH,23/01/2020,323.0893443,-6%,,,,,,,,,,,,,,,
BCH,24/01/2020,320.0107236,-1%,,,,,,,,,,,,,,,
BCH,25/01/2020,311.8642853,-3%,,,,,,,,,,,,,,,
BCH,26/01/2020,343.2150561,10%,,,,,,,,,,,,,,,
BCH,27/01/2020,358.5376019,4%,,,,,,,,,,,,,,,
BCH,28/01/2020,370.4853995,3%,,,,,,,,,,,,,,,
BCH,29/01/2020,384.0788965,4%,,,,,,,,,,,,,,,
BCH,30/01/2020,394.6941083,3%,,,,,,,,,,,,,,,
BCH,31/01/2020,380.0049005,-4%,,,,,,,,,,,,,,,
BCH,01/02/2020,378.6253118,0%,,,,,,,,,,,,,,,
BCH,02/02/2020,379.815365,0%,,,,,,,,,,,,,,,
BCH,03/02/2020,382.097251,1%,,,,,,,,,,,,,,,
BCH,04/02/2020,380.3266846,0%,,,,,,,,,,,,,,,
BCH,05/02/2020,433.7485139,14%,,,,,,,,,,,,,,,
BCH,06/02/2020,438.2399285,1%,,,,,,,,,,,,,,,
BCH,07/02/2020,439.4342969,0%,,,,,,,,,,,,,,,
BCH,08/02/2020,447.8730192,2%,,,,,,,,,,,,,,,
BCH,09/02/2020,448.0511053,0%,,,,,,,,,,,,,,,
BCH,10/02/2020,451.9993838,1%,,,,,,,,,,,,,,,
BCH,11/02/2020,463.6253179,3%,,,,,,,,,,,,,,,
BCH,12/02/2020,476.4835421,3%,,,,,,,,,,,,,,,
BCH,13/02/2020,469.479974,-1%,,,,,,,,,,,,,,,
BCH,14/02/2020,492.9289205,5%,,,,,,,,,,,,,,,
BCH,15/02/2020,442.157088,-10%,,,,,,,,,,,,,,,
BCH,16/02/2020,410.0091684,-7%,,,,,,,,,,,,,,,
BCH,17/02/2020,403.2494559,-2%,,,,,,,,,,,,,,,
BCH,18/02/2020,420.8638493,4%,,,,,,,,,,,,,,,
BCH,19/02/2020,387.9120433,-8%,,,,,,,,,,,,,,,
BCH,20/02/2020,372.1342606,-4%,,,,,,,,,,,,,,,
BCH,21/02/2020,377.393925,1%,,,,,,,,,,,,,,,
BCH,22/02/2020,374.3376042,-1%,,,,,,,,,,,,,,,
BCH,23/02/2020,396.9265062,6%,,,,,,,,,,,,,,,
BCH,24/02/2020,374.9562379,-6%,,,,,,,,,,,,,,,
BCH,25/02/2020,357.4382247,-5%,,,,,,,,,,,,,,,
BCH,26/02/2020,319.5466643,-11%,,,,,,,,,,,,,,,
BCH,27/02/2020,323.9623458,1%,,,,,,,,,,,,,,,
BCH,28/02/2020,317.4296129,-2%,,,,,,,,,,,,,,,
BCH,29/02/2020,312.5909627,-2%,,,,,,,,,,,,,,,
BCH,01/03/2020,312.2193973,0%,,,,,,,,,,,,,,,
BCH,02/03/2020,335.5425536,7%,,,,,,,,,,,,,,,
BCH,03/03/2020,331.105466,-1%,,,,,,,,,,,,,,,
